input,intent
Shrink the window,minimize_window
Minimize this,minimize_window
Put the window down,minimize_window
Lower the window,minimize_window
Hide the active window,minimize_window
Reduce the window size,minimize_window
Make the window smaller,minimize_window
Minimize everything,minimize_window
Close the window but don't exit,minimize_window
Take this window down,minimize_window
Minimize all open windows,minimize_window
Maximize the window,maximize_window
Enlarge the window,maximize_window
Open the window fully,maximize_window
Make the window bigger,maximize_window
Maximize this,maximize_window
Bring the window to full screen,maximize_window
Make the window full size,maximize_window
Expand the window,maximize_window
Show the full window,maximize_window
Maximize the current screen,maximize_window
Make the screen bigger,maximize_window
Restore the window to full size,maximize_window
Increase the window size,maximize_window
Expand the current window,maximize_window
Open the window to full screen,maximize_window
Read the PDF,read_pdf
Summarize the PDF,read_pdf
Analyze the PDF,read_pdf
Read a book for me,read_pdf
Open and read the PDF file,read_pdf
Give me a summary of the PDF,read_pdf
Start reading the document,read_pdf
Show me the contents of the PDF,read_pdf
Can you read this PDF file?,read_pdf
Summarize the document for me,read_pdf
Analyze the text in this PDF,read_pdf
Read this eBook for me,read_pdf
Can you summarize this book?,read_pdf
Read the text from this PDF,read_pdf
Go through the PDF and summarize,read_pdf
turn on hall light,hall_light_on
Turn off the hall light,hall_light_off
Switch off the hall light,hall_light_off
Please turn the hall light off,hall_light_off
Can you turn off the hall light?,hall_light_off
Shut the hall light,hall_light_off
Turn the light off in the hall,hall_light_off
Switch off the light in the hall,hall_light_off
Turn off the lights in the hallway,hall_light_off
Turn on the kitchen light,kitchen_light_on
Switch on the kitchen light,kitchen_light_on
Please turn the kitchen light on,kitchen_light_on
Can you turn on the kitchen light?,kitchen_light_on
Shine the light in the kitchen,kitchen_light_on
Turn the light on in the kitchen,kitchen_light_on
Switch on the light in the kitchen,kitchen_light_on
Turn on the lights in the kitchen,kitchen_light_on
Turn off the kitchen light,kitchen_light_off
Switch off the kitchen light,kitchen_light_off
Please turn the kitchen light off,kitchen_light_off
Can you turn off the kitchen light?,kitchen_light_off
Dim the light in the kitchen,kitchen_light_off
Turn the light off in the kitchen,kitchen_light_off
Switch off the light in the kitchen,kitchen_light_off
Turn off the lights in the kitchen,kitchen_light_off
